cve_id,cvss,vuln_age_days,ai_risk_score,true_label,ai_priority
CVE-2017-1248,4.3,2736,2.6579785781416073e-12,0,Low
CVE-2019-10660,6.5,2469,5.941491685422088e-05,0,Low
CVE-2010-3619,9.3,5566,0.9999999999447962,1,Critical
CVE-2018-18760,4.3,2603,3.001654293038707e-12,0,Low
CVE-2008-6398,6.9,6147,0.0027911428939043654,0,Low
CVE-2017-15274,4.9,3003,1.012994569609779e-25,0,Low
CVE-2015-3029,4.0,3921,4.65133684471736e-14,0,Low
CVE-2016-6603,5.0,3264,1.1365635991096271e-11,0,Low
CVE-2008-1400,5.0,6496,1.122807603843296e-11,0,Low
CVE-2016-4179,10.0,3459,0.9999999999842222,1,Critical
CVE-2016-9479,5.0,3317,1.1411586718914896e-11,0,Low
CVE-2019-10193,6.5,2366,6.571147026207817e-05,0,Low
CVE-2019-16525,4.3,2296,2.162520217655481e-12,0,Low
CVE-2018-5677,6.8,2778,0.002930017862661317,0,Low
CVE-2009-4858,4.3,5714,1.8993931842610526e-12,0,Low
CVE-2013-0011,10.0,4740,0.9999999999788629,1,Critical
CVE-2014-3855,5.0,4165,9.402374630662175e-12,0,Low
CVE-2019-9172,4.3,2451,2.9671208163242442e-12,0,Low
CVE-2011-0713,6.8,5418,0.0025191519451565956,0,Low
CVE-2018-18399,7.5,2568,0.006721443096667425,0,Low
CVE-2015-7763,5.0,3708,9.080884754119105e-12,0,Low
CVE-2017-12679,7.5,3052,0.010262780698323508,0,Low
CVE-2008-2648,6.8,6414,0.003860810702262677,0,Low
CVE-2015-0700,6.8,3912,0.003193360790999713,0,Low
CVE-2014-2685,7.5,4137,0.005722368274567626,0,Low
CVE-2016-2025,5.0,3503,8.940265785874938e-12,0,Low
CVE-2013-2031,4.3,4427,1.7221220648743078e-12,0,Low
CVE-2014-9205,7.5,3931,0.009848151612664125,0,Low
CVE-2017-14759,7.5,3012,0.016621037696123126,0,Low
CVE-2008-7281,4.3,5403,2.5152605712383108e-12,0,Low
CVE-2015-0615,7.1,3926,6.711021536617313e-12,0,Low
CVE-2014-5600,5.4,4132,3.5850002571285196e-10,0,Low
CVE-2008-4742,4.3,6275,1.9822696089502202e-12,0,Low
CVE-2017-9292,4.3,3139,2.3058525937649684e-12,0,Low
CVE-2007-5384,4.3,6656,3.582242428696132e-12,0,Low
CVE-2010-0142,8.5,5817,0.9999999974211602,1,Critical
CVE-2016-3623,5.0,3377,8.972982759984815e-18,0,Low
CVE-2017-5133,6.8,2884,0.002953687482192205,0,Low
CVE-2019-13497,4.3,2250,3.1792376987335665e-18,0,Low
CVE-2014-5541,5.4,4132,3.5850002571285196e-10,0,Low
CVE-2009-0640,5.0,6159,1.09436806622049e-11,0,Low
CVE-2019-17389,7.8,2276,3.855265121115208e-11,0,Low
CVE-2010-1367,4.3,5742,1.903446236488486e-12,0,Low
CVE-2014-0542,10.0,4159,0.9999999999894846,1,Critical
CVE-2015-8844,4.7,3536,9.998239150489452e-25,0,Low
CVE-2018-10029,3.5,2822,4.907611236914944e-14,0,Low
CVE-2016-5946,4.0,3384,4.4650202737731926e-14,0,Low
CVE-2019-12106,5.0,2422,8.958669946644891e-18,0,Low
CVE-2011-2380,5.0,5259,1.0218979004719687e-11,0,Low
CVE-2015-2375,4.3,3823,2.230205275266508e-12,0,Low
CVE-2015-6962,7.5,3759,0.007354659241180375,0,Low
CVE-2010-5176,6.2,4876,0.000618187140412333,0,Low
CVE-2017-1195,5.8,3046,0.0005401216958534297,0,Low
CVE-2013-0734,4.3,4297,1.705162825899197e-12,0,Low
CVE-2018-0465,4.3,2645,1.5036516648333058e-12,0,Low
CVE-2011-3197,6.5,4304,3.8920444746876574e-05,0,Low
CVE-2014-6872,5.4,4109,3.5787285869694553e-10,0,Low
CVE-2018-13868,7.5,2731,0.017453435793226883,0,Low
CVE-2017-2617,6.8,2781,0.0003535175629321087,0,Low
CVE-2017-8709,1.9,3032,3.222714387987844e-25,0,Low
CVE-2018-20360,4.3,2567,2.289416843434915e-18,0,Low
CVE-2017-17531,6.8,2940,0.0029662690519692745,0,Low
CVE-2018-20669,7.2,2478,2.58081950315919e-05,0,Low
CVE-2006-1049,7.5,7240,0.009564971199322593,0,Low
CVE-2017-16015,4.3,2768,2.241638079156515e-12,0,Low
CVE-2018-17792,6.8,2358,0.0041858959252522665,0,Low
CVE-2019-14225,5.5,2271,1.557545829663852e-05,0,Low
CVE-2017-15325,9.3,2841,0.9999999996031155,1,Critical
CVE-2019-15478,4.3,2320,2.1664749269588652e-12,0,Low
CVE-2019-15069,7.5,2290,0.007330920598323759,0,Low
CVE-2006-5467,5.0,7006,1.1828216208150444e-17,0,Low
CVE-2015-1566,4.3,3979,1.664378522743792e-12,0,Low
CVE-2013-3614,9.3,4489,0.9999999999377915,1,Critical
CVE-2017-7021,9.3,3087,0.99999999993333,1,Critical
CVE-2017-18241,4.9,2843,1.0007305974224048e-25,0,Low
CVE-2016-1712,7.2,3439,0.0004995838251803264,0,Low
CVE-2016-1170,6.8,3556,0.003108242956212029,0,Low
CVE-2018-1000,2.6,2821,4.902563381717502e-16,0,Low
CVE-2017-11552,4.3,3075,1.6112718257855669e-18,0,Low
CVE-2017-1224,5.0,3088,1.2793261213371563e-11,0,Low
CVE-2010-0926,3.5,5776,5.6420178376392795e-14,0,Low
CVE-2019-16751,4.3,2291,2.161697228960181e-12,0,Low
CVE-2009-1862,9.3,6006,0.9999999995053988,1,Critical
CVE-2018-11641,7.5,2739,0.011891734511157442,0,Low
CVE-2018-5207,5.0,2917,1.262779856356695e-11,0,Low
CVE-2017-2715,2.1,2962,3.382308170199936e-26,0,Low
CVE-2013-6710,6.8,4400,0.0033138268538785015,0,Low
CVE-2019-1010038,7.5,2362,0.001458598858237311,0,Low
CVE-2012-1525,10.0,4887,0.999999999986819,1,Critical
CVE-2015-2962,7.5,3855,0.012932569376744732,0,Low
CVE-2016-3264,7.6,3459,0.9999994041626907,1,Critical
CVE-2015-2698,8.5,3702,0.9999999956904735,1,Critical
CVE-2017-18506,4.3,2334,2.1687851797302313e-12,0,Low
CVE-2016-10225,7.2,3202,0.0004906553366471462,0,Low
CVE-2018-11793,5.0,2493,9.351122487669805e-18,0,Low
CVE-2013-7013,6.8,4406,0.003088483890826834,0,Low
CVE-2014-8009,5.0,4039,9.312616625972808e-12,0,Low
CVE-2017-15546,4.0,2898,3.6200225660755805e-14,0,Low
CVE-2017-15767,6.8,2993,0.0030915839406514623,0,Low
CVE-2018-1000607,4.0,2746,8.132546943848232e-14,0,Low
CVE-2016-10771,5.5,2341,1.5658679904724946e-05,0,Low
CVE-2018-6223,5.0,2849,5.401147592281968e-12,0,Low
CVE-2018-11161,6.5,2770,8.978124376753186e-05,0,Low
CVE-2009-3484,9.3,5937,0.9999999999261799,1,Critical
CVE-2008-3715,2.6,6344,3.2010983105431356e-16,0,Low
CVE-2019-14696,4.3,2340,2.1697760420625237e-12,0,Low
CVE-2017-5167,7.5,3243,0.018134582392520245,0,Low
CVE-2010-1384,4.3,5683,2.5694512105087113e-12,0,Low
CVE-2010-3186,10.0,5603,0.9999999999860867,1,Critical
CVE-2015-7058,4.3,3674,3.2566433457764058e-12,0,Low
CVE-2014-7867,7.5,4046,0.007515897242152783,0,Low
CVE-2016-9794,7.2,3291,0.0004600990189746691,0,Low
CVE-2016-7434,5.0,3275,8.903576559583968e-18,0,Low
CVE-2010-0223,2.1,5838,4.210171838497835e-26,0,Low
CVE-2017-8021,10.0,3012,0.9999999999885252,1,Critical
CVE-2018-20849,4.3,2377,2.175896371056565e-12,0,Low
CVE-2012-3964,10.0,4873,0.9999999999842075,1,Critical
CVE-2018-19141,3.5,2608,4.8283068113924364e-14,0,Low
CVE-2014-4604,4.3,4201,1.692746376710107e-12,0,Low
CVE-2015-5179,5.0,3025,1.648327531196973e-11,0,Low
CVE-2017-16191,5.0,2765,1.2482518079849336e-11,0,Low
CVE-2016-6516,4.4,3434,4.4155160091259675e-16,0,Low
CVE-2012-4273,4.3,4888,1.783633279617261e-12,0,Low
CVE-2012-2276,7.8,4979,2.254191032816851e-11,0,Low
CVE-2013-5511,10.0,4463,0.9999999999647047,1,Critical
CVE-2008-1128,6.8,6512,0.003889609837471916,0,Low
CVE-2018-20984,7.5,2324,0.016929961481008282,0,Low
CVE-2017-11280,5.0,3065,1.1596950041384578e-12,0,Low
CVE-2018-1000027,5.0,2882,8.64114087905888e-18,0,Low
CVE-2019-3575,4.6,2555,4.678499557783437e-17,0,Low
CVE-2005-4851,4.0,7306,2.5876151182607975e-14,0,Low
CVE-2008-4341,7.5,6302,0.015539579207870047,0,Low
CVE-2016-1954,6.8,3581,0.0029010202028712444,0,Low
CVE-2019-3783,4.0,2492,6.161460133746217e-14,0,Low
CVE-2011-0026,9.3,5468,0.9999999999422593,1,Critical
CVE-2007-0344,7.5,6923,0.015179195630028766,0,Low
CVE-2004-2757,4.3,7671,2.2045372292961485e-12,0,Low
CVE-2009-2340,7.5,6022,0.00872533327529945,0,Low
CVE-2012-2702,5.0,4936,9.970764143444783e-12,0,Low
CVE-2018-11163,6.5,2770,8.978124376753186e-05,0,Low
CVE-2017-6738,9.0,3089,0.9999999955706291,1,Critical
CVE-2006-3365,2.6,7119,4.604395051344556e-16,0,Low
CVE-2018-0509,6.8,2891,0.00435848202813472,0,Low
CVE-2011-2674,4.9,5205,6.6767915459353144e-06,0,Low
CVE-2016-2117,5.0,3531,8.959343123025124e-12,0,Low
CVE-2016-4514,4.6,3482,4.201159072956092e-08,0,Low
CVE-2016-4623,6.8,3450,0.0021694036595588505,0,Low
CVE-2017-15207,4.0,3004,8.293858180366416e-14,0,Low
CVE-2017-7050,7.9,3087,0.9991060459600241,1,Critical
CVE-2009-3330,6.8,5944,0.0021256881230030723,0,Low
CVE-2009-4203,7.5,5872,0.008627117927015768,0,Low
CVE-2018-1002006,3.5,2586,4.8202270181200656e-14,0,Low
CVE-2011-3426,4.3,5193,1.8255322621264725e-12,0,Low
CVE-2019-15868,6.8,2312,0.004171323997114171,0,Low
CVE-2008-5938,6.8,6188,0.0037952035397680914,0,Low
CVE-2013-7187,7.5,4394,0.0077161174304247885,0,Low
CVE-2009-4216,9.3,5869,0.9999999999439952,1,Critical
CVE-2008-5603,5.0,6225,1.0998805229776351e-11,0,Low
CVE-2012-3795,5.0,4938,7.62691673536946e-18,0,Low
CVE-2012-4333,10.0,4887,0.9999999999805327,1,Critical
CVE-2016-10044,7.2,3250,0.0004924506651133255,0,Low
CVE-2010-0649,9.3,5796,0.9999999999590581,1,Critical
CVE-2007-5175,6.8,6665,0.003935000152734625,0,Low
CVE-2014-2777,7.5,4222,0.013294117376996761,0,Low
CVE-2012-4629,7.8,4858,2.95929318433571e-11,0,Low
CVE-2019-11738,6.8,2288,0.004163741316612715,0,Low
CVE-2019-6461,4.3,2542,3.2507018439633913e-18,0,Low
CVE-2019-3956,5.8,2399,4.323377562674123e-10,0,Low
CVE-2009-4862,7.5,5714,0.008524849468968535,0,Low
CVE-2017-0269,4.3,3156,3.172460712151929e-18,0,Low
CVE-2017-14018,3.3,2948,1.8513955225982244e-23,0,Low
CVE-2014-0762,4.7,4144,1.0471895204013774e-24,0,Low
CVE-2017-11687,4.3,3080,1.5542800054069292e-12,0,Low
CVE-2017-10921,10.0,3102,0.9999999999837876,1,Critical
CVE-2016-3054,3.5,3433,3.481123970797941e-14,0,Low
CVE-2016-8802,6.8,3195,1.5727074319551446e-13,0,Low
CVE-2017-1000030,5.0,3090,5.501156689150061e-12,0,Low
CVE-2007-5116,7.5,6629,0.01771910680989653,0,Low
CVE-2013-5155,7.1,4487,1.0343990084581873e-11,0,Low
CVE-2017-2921,7.5,2977,0.0013713653947189743,0,Low
CVE-2006-6824,4.3,6943,2.0856825929037697e-12,0,Low
CVE-2018-8932,9.3,2842,0.9999999999522524,1,Critical
CVE-2015-6290,4.3,3762,1.6977841988157804e-18,0,Low
CVE-2016-1834,9.3,3513,0.9999999999046769,1,Critical
CVE-2010-2231,6.8,5666,0.003647882719393798,0,Low
CVE-2017-0723,9.3,3066,0.9999999994237954,1,Critical
CVE-2015-7520,4.3,3551,1.6110221704173146e-12,0,Low
CVE-2015-0009,3.3,3977,1.4674983867965923e-19,0,Low
CVE-2017-16773,6.5,2737,6.063949963722004e-05,0,Low
CVE-2018-16975,7.5,2667,0.0021223151114732643,0,Low
CVE-2018-18797,6.8,2603,0.0042643655012625375,0,Low
CVE-2013-4476,1.2,4432,8.728172331559798e-26,0,Low
CVE-2015-3614,5.0,3064,8.646416683388808e-12,0,Low
CVE-2007-4827,7.5,6679,0.01211198533343288,0,Low
CVE-2019-8992,6.5,2443,8.757401557268268e-05,0,Low
CVE-2006-7090,6.8,6879,0.003999373624108226,0,Low
CVE-2014-8527,3.6,4082,9.469203040782227e-18,0,Low
CVE-2009-4755,9.3,5757,0.9999999999251614,1,Critical
CVE-2018-13663,5.0,2733,1.612090335745588e-11,0,Low
CVE-2008-4316,4.6,6137,6.145186875648285e-17,0,Low
CVE-2017-0100,4.4,3212,2.0041458418396809e-16,0,Low
CVE-2009-0132,4.9,6195,1.2916397246158279e-25,0,Low
CVE-2016-1603,4.0,3206,6.505639503205165e-14,0,Low
CVE-2018-0699,4.3,2604,1.4989656911988782e-12,0,Low
CVE-2015-4366,3.5,3853,3.594227632626164e-14,0,Low
CVE-2018-12102,4.3,2761,3.3053521911944304e-18,0,Low
CVE-2008-1399,4.3,6496,2.0159021610759698e-12,0,Low
CVE-2014-2976,5.0,4271,9.478555027167991e-12,0,Low
CVE-2016-0224,7.5,3474,0.007197943149535768,0,Low
CVE-2018-7844,5.0,2415,1.2154314309189413e-11,0,Low
CVE-2015-7876,7.5,3725,0.00733578679285731,0,Low
CVE-2014-0202,2.1,4234,3.726217378310493e-26,0,Low
CVE-2013-4179,4.3,4490,1.7945340706850574e-18,0,Low
CVE-2012-6500,5.0,4737,9.820850094569061e-12,0,Low
CVE-2014-3479,4.3,4194,2.3246796499631187e-18,0,Low
CVE-2014-8676,5.0,3044,8.633261953982383e-12,0,Low
CVE-2009-4033,6.9,5868,0.002545561861393195,0,Low
CVE-2018-5403,6.8,2547,0.0018300796633184853,0,Low
CVE-2018-11359,5.0,2780,1.3596633464573618e-17,0,Low
CVE-2013-0270,5.0,4646,7.459244918206533e-18,0,Low
CVE-2016-6452,10.0,3345,0.999999999961569,1,Critical
CVE-2015-6758,6.8,3731,0.0029342397857501077,0,Low
CVE-2018-1051,6.8,2898,0.0043607951438171125,0,Low
CVE-2008-2933,2.6,6377,4.351515030769421e-16,0,Low
CVE-2016-6694,7.5,3370,0.01707241590145178,0,Low
CVE-2019-12211,5.0,2418,9.983092880126861e-18,0,Low
CVE-2019-11569,6.8,2432,0.004209444160360979,0,Low
CVE-2018-15891,3.5,2387,4.747753159707818e-14,0,Low
CVE-2011-2414,10.0,5257,0.9999999999871849,1,Critical
CVE-2018-16250,3.5,2387,4.747753159707818e-14,0,Low
CVE-2007-4207,7.5,6721,0.009197830150387682,0,Low
CVE-2013-3187,9.3,4523,0.9999999999117317,1,Critical
CVE-2009-2625,5.0,5992,1.0949499502422613e-17,0,Low
CVE-2019-2301,4.6,2352,3.476939956713303e-17,0,Low
CVE-2014-6075,5.0,4052,9.321837590261214e-12,0,Low
CVE-2018-3992,6.8,2642,0.0005165307126535293,0,Low
CVE-2016-2516,7.1,3257,6.377787963268379e-12,0,Low
CVE-2010-2850,6.8,5639,0.0036404195927402048,0,Low
CVE-2018-15808,10.0,2688,0.9999999999826297,1,Critical
CVE-2017-18092,3.5,2873,3.3358361018751704e-14,0,Low
CVE-2017-14037,4.3,3045,4.019011844469525e-12,0,Low
CVE-2019-7227,4.1,2380,1.1702488223946934e-12,0,Low
CVE-2014-5111,5.0,4175,9.409535227362221e-12,0,Low
CVE-2016-4948,4.3,3222,1.5711732655976128e-12,0,Low
CVE-2017-7919,7.5,3104,0.007795923900494311,0,Low
CVE-2017-11354,7.5,3090,0.010292206635857282,0,Low
CVE-2010-2598,4.3,5662,2.5995507534913056e-18,0,Low
CVE-2014-9570,4.3,4004,1.667549198232651e-12,0,Low
CVE-2017-15647,5.0,2995,1.2703005630295033e-11,0,Low
CVE-2019-9795,7.5,2442,0.01708012158567335,0,Low
CVE-2017-0440,7.6,3249,0.9999996181980072,1,Critical
CVE-2018-10503,6.8,2806,0.00433049148329871,0,Low
CVE-2017-13089,9.3,2988,0.9999999999374363,1,Critical
CVE-2014-8389,10.0,2926,0.9999999999829414,1,Critical
CVE-2009-3627,4.3,5908,3.911859042630744e-18,0,Low
CVE-2014-4701,2.1,4045,3.672987471123855e-26,0,Low
CVE-2008-1715,6.8,6475,0.0022131836259315506,0,Low
CVE-2016-1516,6.8,3188,0.004457706030394527,0,Low
CVE-2011-1684,6.8,5356,0.002507319415832685,0,Low
CVE-2018-11412,4.3,2779,3.3098846532906644e-18,0,Low
CVE-2013-2014,5.0,4231,9.575729753279829e-18,0,Low
CVE-2017-14418,4.3,3032,3.1013038634556625e-12,0,Low
CVE-2005-3861,7.5,7338,0.016793380970267075,0,Low
CVE-2016-4751,4.3,3385,2.7926003627972667e-12,0,Low
CVE-2019-0654,4.3,2493,3.853620980381835e-12,0,Low
CVE-2006-6681,7.5,6951,0.016313790862072082,0,Low
CVE-2016-7531,4.3,3179,2.1518156685459835e-18,0,Low
CVE-2018-7278,4.3,2871,1.5297458293351258e-12,0,Low
CVE-2018-15197,6.8,2703,0.004296813268244397,0,Low
CVE-2017-18600,3.5,2305,4.7182075141273413e-14,0,Low
CVE-2009-1223,5.0,6118,1.0909575822469957e-11,0,Low
CVE-2012-3825,3.3,4933,8.364509365212179e-26,0,Low
CVE-2019-8234,4.3,2260,2.924289508738764e-12,0,Low
CVE-2013-6223,2.1,4224,3.7233817504905927e-26,0,Low
CVE-2014-5545,5.4,4132,3.5850002571285196e-10,0,Low
CVE-2017-14611,6.4,2823,0.00104815973680536,0,Low
CVE-2018-10121,3.5,2817,4.905743550991886e-14,0,Low
CVE-2014-7632,5.4,4090,3.5735559183991417e-10,0,Low
CVE-2002-2405,4.9,8402,8.516606961200077e-06,0,Low
CVE-2009-2953,5.0,5974,1.0934505568595306e-17,0,Low
CVE-2007-0160,7.5,6931,0.011506207320139667,0,Low
CVE-2018-11302,4.6,2662,4.716764999943768e-17,0,Low
CVE-2018-6412,5.0,2892,1.260378808673928e-11,0,Low
CVE-2015-7211,5.0,3669,1.1721519109913631e-11,0,Low
CVE-2004-1193,6.6,7661,7.514592974300602e-13,0,Low
CVE-2013-0306,5.0,4627,9.86880298494752e-18,0,Low
CVE-2011-5142,4.3,4870,1.7811908228309215e-12,0,Low
CVE-2016-6411,5.0,3386,1.1471687845046337e-11,0,Low
CVE-2015-0729,4.3,3883,1.652259051778804e-12,0,Low
CVE-2017-13189,7.8,2910,4.0459045346796e-11,0,Low
CVE-2017-13671,4.3,3052,2.29063101404125e-12,0,Low
CVE-2015-7055,9.3,3674,0.9999999998957592,1,Critical
CVE-2014-7407,5.4,4092,3.5741000575592167e-10,0,Low
CVE-2015-3384,3.5,3908,3.609308424114824e-14,0,Low
CVE-2017-12192,4.9,3003,1.012994569609779e-25,0,Low
CVE-2008-6087,4.3,6173,1.966936714035894e-12,0,Low
CVE-2016-7475,5.0,2642,1.3454538879147813e-17,0,Low
CVE-2017-0428,9.3,3249,0.999999999953709,1,Critical
CVE-2010-0264,9.3,5775,0.9999999999435931,1,Critical
CVE-2014-2391,4.3,4270,2.307403807108766e-12,0,Low
CVE-2019-10089,4.3,2292,2.1618618016390843e-12,0,Low
CVE-2019-13525,5.0,2260,8.13306455109524e-12,0,Low
CVE-2005-2946,5.0,7411,1.5584839719221394e-11,0,Low
CVE-2017-14804,5.0,2863,1.628123892680868e-11,0,Low
CVE-2009-1150,4.3,6125,1.9597623284076996e-12,0,Low
CVE-2008-3357,7.2,6358,0.0006238248914806803,0,Low
CVE-2019-6499,9.3,2537,0.9999999999511306,1,Critical
CVE-2014-8152,5.0,3998,1.2018806308961495e-11,0,Low
CVE-2006-0353,3.6,7284,9.457697030063512e-24,0,Low
CVE-2019-7070,9.3,2414,0.999999999590002,1,Critical
CVE-2017-16942,4.3,2959,3.355552516797377e-18,0,Low
CVE-2008-3260,4.3,6372,1.996961757066434e-12,0,Low
CVE-2018-6941,6.8,2872,0.00035597424693674894,0,Low
CVE-2019-3775,4.0,2492,2.322115455577926e-14,0,Low
CVE-2014-4067,9.3,4159,0.9999999999092515,1,Critical
CVE-2017-15186,4.3,2991,2.1212379468149526e-18,0,Low
CVE-2015-2416,5.0,3823,1.185974813103363e-11,0,Low
CVE-2017-11404,4.0,3089,5.652170697330024e-14,0,Low
CVE-2014-8750,6.5,4096,6.724874051852743e-05,0,Low
CVE-2010-4357,7.5,5510,0.008394582548236499,0,Low
CVE-2008-3909,5.8,6328,7.548651551849727e-10,0,Low
CVE-2015-0652,7.8,3947,2.7610127088888665e-11,0,Low
CVE-2015-9105,3.5,3107,3.395793242579791e-14,0,Low
CVE-2019-9256,6.8,2288,0.0003404999297234938,0,Low
CVE-2017-7592,6.8,3189,0.002815966266398537,0,Low
CVE-2010-0190,4.3,5741,1.903301335807934e-12,0,Low
CVE-2008-1526,5.0,6490,1.6575192772390404e-11,0,Low
CVE-2012-2874,7.5,4845,0.009833293292301093,0,Low
CVE-2019-1010206,4.3,2354,3.81305758050975e-12,0,Low
CVE-2018-13334,4.3,2592,2.2118036119015465e-12,0,Low
CVE-2014-7185,6.4,4103,1.4356287340713586e-09,0,Low
CVE-2015-5487,4.3,3789,1.64047758556341e-12,0,Low
CVE-2011-2881,6.8,5202,0.0024781682559228205,0,Low
CVE-2014-1765,7.6,4267,0.9999996061464408,1,Critical
CVE-2010-1295,9.3,5664,0.9999999995445836,1,Critical
CVE-2009-2097,7.5,6042,0.008738512117510274,0,Low
CVE-2017-13014,7.5,3031,0.017849435947831442,0,Low
CVE-2011-0640,6.9,5455,0.0026482885105102638,0,Low
CVE-2014-6632,7.5,4103,0.0057076602880974095,0,Low
CVE-2019-12700,6.8,2283,1.225915230334889e-13,0,Low
CVE-2018-17856,6.5,2640,1.0696523012695189e-05,0,Low
CVE-2018-5229,3.5,2726,3.298713314191503e-14,0,Low
CVE-2018-5379,7.5,2873,0.01644896166259392,0,Low
CVE-2013-0473,4.3,4661,1.7530748790416533e-12,0,Low
CVE-2016-7199,2.6,3339,3.4530095366795475e-16,0,Low
CVE-2019-11822,4.0,2377,5.353959013711415e-14,0,Low
CVE-2017-2737,6.5,2962,9.110306112260722e-05,0,Low
CVE-2017-12196,4.3,2815,3.0504916522774992e-12,0,Low
CVE-2013-0187,6.5,4256,6.807281899012444e-05,0,Low
CVE-2016-10208,4.9,3251,1.0323014138219932e-25,0,Low
CVE-2017-3207,7.5,2761,0.011911430320729005,0,Low
CVE-2010-2230,4.0,5666,3.917606028108475e-14,0,Low
CVE-2014-0539,7.5,4194,0.01946967480368909,0,Low
CVE-2014-9924,9.3,3131,0.9999999999532914,1,Critical
CVE-2013-4673,5.8,4536,1.1426475192729004e-10,0,Low
CVE-2017-2947,4.3,3277,4.090625272429113e-12,0,Low
CVE-2014-0536,10.0,4222,0.9999999999851126,1,Critical
CVE-2019-0676,4.3,2493,2.976623042247279e-12,0,Low
CVE-2017-12695,4.0,2913,3.5412335961946284e-14,0,Low
CVE-2017-1245,3.5,3082,5.00571710983484e-14,0,Low
CVE-2011-2191,6.8,5200,0.003521187422072396,0,Low
CVE-2007-4985,4.3,6673,4.14644316101674e-18,0,Low
CVE-2018-1969,6.5,2544,8.824990454097049e-05,0,Low
CVE-2014-0729,7.5,4340,0.007684705383047457,0,Low
CVE-2015-5264,5.5,3601,1.1669803141209765e-05,0,Low
CVE-2016-9722,4.9,2913,3.560811948880497e-06,0,Low
CVE-2006-4776,7.5,7049,0.012453690638121233,0,Low
CVE-2015-3703,6.8,3835,0.0022337844399048148,0,Low
CVE-2018-8497,4.6,2640,4.708871863156392e-17,0,Low
CVE-2010-4974,7.5,5174,0.008184314589041933,0,Low
CVE-2008-6565,4.3,6120,1.9590165031300642e-12,0,Low
CVE-2016-8657,7.2,2711,0.0004726621713132903,0,Low
CVE-2015-2905,6.8,3783,0.0031622523852825567,0,Low
CVE-2018-5000,4.3,2733,3.03150820006922e-12,0,Low
CVE-2019-1972,7.2,2338,0.00045943536636635653,0,Low
CVE-2019-15650,4.0,2319,7.872434484745075e-14,0,Low
CVE-2017-12358,3.5,2954,3.356469738062872e-14,0,Low
CVE-2018-1000822,7.5,2569,0.016078704879087555,0,Low
CVE-2014-6093,3.5,4054,3.6496487091539095e-14,0,Low
CVE-2018-15132,5.0,2704,1.2424685791639517e-11,0,Low
CVE-2014-6827,5.4,4111,3.5792735137628245e-10,0,Low
CVE-2016-6220,5.0,3069,1.2774769925584437e-11,0,Low
CVE-2018-14785,5.0,2701,1.2421848503655847e-11,0,Low
CVE-2014-9968,10.0,3058,0.9999999999848497,1,Critical
CVE-2008-3322,7.5,6369,0.006775017387355646,0,Low
CVE-2014-2092,4.3,4323,1.7085412597821925e-12,0,Low
CVE-2014-9353,10.0,3982,0.9999999999842593,1,Critical
CVE-2010-0407,6.8,5676,0.00018249518144933106,0,Low
CVE-2019-10175,4.0,2379,2.6263599499944378e-14,0,Low
CVE-2015-1158,10.0,3842,0.9999999999840905,1,Critical
CVE-2012-1829,3.5,4950,3.907281675857591e-14,0,Low
CVE-2016-7006,10.0,3367,0.9999999999841114,1,Critical
CVE-2018-10683,7.5,2794,0.007615480477187502,0,Low
